finish_code,substrate_code,finish_applied_code,seq_id,finish_code_description,sft_steps,source_doc,program,associated_specs
0000,0,0,00,UNFINISHABLE MATERIAL - NO FINISH REQUIRED,[SFT0001],LMA-PJ100,LMA,
AA01,A,A,01,HARD ANODIZE FUN CTIONAL WEAR SURFACES,"[SFT0103, SFT0212, SFT0901]",LMA-PJ100,LMA,
AA02,A,A,02,"CHEM FILM CLASS 1A AND BLACK HARD ANODIZE SFT010 3 CLEAN IAW LMA-PG301, LMA-PJ100 OR MIL-DTL-5002","[SFT0202, SFT0214, SFT0901]",LMA-PJ100,LMA,
AC01,A,C,01,CHEM FILM CLASS 3 ALL SURFACES OF SMALL DETAILS - ELECTRICAL BONDING,"[SFT0103, SFT0205, SFT0901]",LMA-PJ100,LMA,
AC02,A,C,02,CHEM FILM CLASS 1A ALL SURFACES,"[SFT0103, SFT0201, SFT0901]",LMA-PJ100,LMA,
AC03,A,C,03,CHEM FILM CLASS 1A SPECIFIED SURFACES,"[SFT0103, SFT0202, SFT0901]",LMA-PJ100,LMA,
AE01,A,E,01,"FLAT BLACK TOPCOAT, ELECTRICAL BONDING, PRIMER, ANODIZED","[SFT0103, SFT0206, SFT0401, SFT0505, SFT0702, SFT0901]",LMA-PJ100,LMA,
AE02,A,E,02,"FLAT BLACK TOPCOAT ALL SURFACES, PRIMER, ANODIZED","[SFT0103, SFT0209, SFT0401, SFT0505]",LMA-PJ100,LMA,
AE03,A,E,03,"GLOSS WHITE AND BLACK FLAT TOPCOAT, SPECIFIED SURFACES, PRIMER, ANODIZED","[SFT0103, SFT0209, SFT0401, SFT0503, SFT0506, SFT0901]",LMA-PJ100,LMA,
AE04,A,E,04,"FLAT BLACK AND GUNSHIP GRAY TOPCOAT, SPECIFIED SURFACES, PRIMER, ANODIZED","[SFT0103, SFT0209, SFT0401, SFT0506, SFT0508, SFT0901]",LMA-PJ100,LMA,
AE05,A,E,05,"FLAT BLACK TOPCOAT, SPECIFIED SURFACES, PRIMER, ANODIZED","[SFT0103, SFT0209, SFT0401, SFT0506, SFT0901]",LMA-PJ100,LMA,
AE06,A,E,06,"DELETED, USE AE03.",[],LMA-PJ100,LMA,
AF01,A,F,01,"FUEL TANK COATING ALL SURFACES, ANODIZED","[SFT0103, SFT0209, SFT0405, SFT0901]",LMA-PJ100,LMA,
AF02,A,F,02,"FUEL TANK COATING, PRIMER, SPECIFIED SURFACES, ANODIZED","[SFT0103, SFT0209, SFT0402, SFT0406, SFT0901]",LMA-PJ100,LMA,
AF03,A,F,03,"FUEL TANK COATING, WHITE TOPCOAT, PRIMER, SPECIFIED SURFACES, ANODIZED","[SFT0103, SFT0209, SFT0402, SFT0406, SFT0503, SFT0901]",LMA-PJ100,LMA,
AF04,A,F,04,"FUEL TANK COATING SPECIFIED SURFACES, CHEM FILM CLASS 1A","[SFT0103, SFT0201, SFT0406, SFT0901]",LMA-PJ100,LMA,
AF05,A,F,05,"FUEL TANK COATING FOR SOLID SHIM, CHEM FILM CLASS 1A","[SFT0103, SFT0202, SFT0406, SFT0901]",LMA-PJ100,LMA,
AG01,A,G,01,"GUNSHIP GRAY, SPECIFIED SURFACES, PRIMER, ANODIZED","[SFT0103, SFT0209, SFT0401, SFT0508, SFT0901]",LMA-PJ100,LMA,
AG02,A,G,02,"GUNSHIP GRAY TOPCOAT ALL SURFACES, PRIMER, ANODIZED","[SFT0103, SFT0209, SFT0401, SFT0507, SFT0901]",LMA-PJ100,LMA,
AG03,A,G,03,"GUNSHIP GRAY TOPCOAT ALL SURFACES WITH ELECTRICAL BONDING, PRIMER, ANODIZED","[SFT0103, SFT0206, SFT0209, SFT0401, SFT0507, SFT0702, SFT0901]",LMA-PJ100,LMA,
AL01,A,L,01,"SOLID FILM LUBE ALL SURFACES, ANODIZED","[SFT0103, SFT0209, SFT0601, SFT0902]",LMA-PJ100,LMA,
AP01,A,P,01,"PRIME ALL SURFACES, WITH ELECTRICAL BONDING","[SFT0103, SFT0206, SFT0209, SFT0401, SFT0701, SFT0901]",LMA-PJ100,LMA,
AP02,A,P,02,"WHITE TOPCOAT SPECIFIED SURFACES, CHEM FILM CLASS 1A, PRIME","[SFT0103, SFT0202, SFT0401, SFT0503, SFT0901]",LMA-PJ100,LMA,
AP03,A,P,03,"PRIME SPECIFIED SURFACES, ANODIZED","[SFT0103, SFT0209, SFT0402, SFT0901]",LMA-PJ100,LMA,
AP04,A,P,04,PRIME FOR PEEL SHIM APPLICATIONS,"[SFT0103, SFT0401, SFT0901]",LMA-PJ100,LMA,
AP05,A,P,05,SOLID FILM LUBE AND PRIME SPECIFIED SURFACES,"[SFT0103, SFT0209, SFT0402, SFT0602, SFT0903]",LMA-PJ100,LMA,
AP06,A,P,06,"PRIME ALL SURFACES, ANODIZED","[SFT0103, SFT0209, SFT0401, SFT0901]",LMA-PJ100,LMA,
AP07,A,P,07,"PRIME FOR SOLID SHIMS, CHEM FILM CLASS 1A","[SFT0103, SFT0202, SFT0402, SFT0901]",LMA-PJ100,LMA,
AP09,A,P,09,"DELETED, USE AP03.",[],LMA-PJ100,LMA,
AR01,A,R,01,"GLOSS ORANGE TOPCOAT ALL SURFACES, PRIMER, ANODIZED","[SFT0103, SFT0209, SFT0401, SFT0515, SFT0901]",LMA-PJ100,LMA,
AR02,A,R,02,"GLOSS ORANGE TOPCOAT SPECIFIED SURFACES, PRIMER, ANODIZED","[SFT0103, SFT0209, SFT0401, SFT0516, SFT0901]",LMA-PJ100,LMA,
AR03,A,R,03,"DARK GREEN TOPCOAT ALL SURFACES, PRIMER, ANODIZED","[SFT0103, SFT0209, SFT0401, SFT0517, SFT0901]",LMA-PJ100,LMA,
AR04,A,R,04,"DARK GREEN TOPCOAT SPECIFIED SURFACES, PRIMER, ANODIZED","[SFT0103, SFT0209, SFT0401, SFT0518, SFT0901]",LMA-PJ100,LMA,
AW01,A,W,01,"WHITE TOPCOAT ALL SURFACES , PRIMER, ANODIZED","[SFT0103, SFT0209, SFT0401, SFT0901]",LMA-PJ100,LMA,
AW02,A,W,02,"WHITE TOPCOAT SPECIFIED SURFACES, PRIMER, ANODIZED","[SFT0103, SFT0209, SFT0401, SFT0503, SFT0901]",LMA-PJ100,LMA,
